# BEGIN PLOT
Legend=1
LogY=1
Title=1D differential xsection vs $p_{T}^{\gamma\gamma}$ in bins of $|y_{\gamma\gamma}|$
XLabel=Bin number
YLabel=$d\sigma/dp_{T}^{\gamma\gamma}$ [fb/GeV]
DrawOnly=/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r21.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
LegendOnly=/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r21.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/r23.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01 //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
RatioPlot=1
RatioPlotReference=/ATLAS_2022_I2023464/d09-x01-y01
# END PLOT

# BEGIN HISTO1D /ATLAS_2022_I2023464/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2022_I2023464/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.050000e+01	1.150000e+01	1.583243e-02	9.946012e-04	9.946012e-04
1.150000e+01	1.250000e+01	1.805625e-03	1.961160e-04	1.961160e-04
# END HISTO1D


# BEGIN HISTO1D //ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ustcfs2/yuyi/private/ttHyy/Generation/ggHyy/Rivet_new/scale_pw.yoda.gz/ATLAS_2022_I2023464/d09-x01-y01
ScaledBy=2.28242794195637878e-05
Title=NNLO PW
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.500000e+00	1.663088e-01	1.612598e-03	1.612598e-03
1.500000e+00	2.500000e+00	4.412280e-02	6.433921e-04	6.433921e-04
2.500000e+00	3.500000e+00	4.276898e-03	1.143866e-04	1.143866e-04
3.500000e+00	4.500000e+00	1.402603e-01	1.481164e-03	1.481164e-03
4.500000e+00	5.500000e+00	3.713784e-02	5.904650e-04	5.904650e-04
5.500000e+00	6.500000e+00	3.444768e-03	1.026575e-04	1.026575e-04
6.500000e+00	7.500000e+00	1.124952e-01	1.347912e-03	1.347912e-03
7.500000e+00	8.500000e+00	2.775638e-02	5.106275e-04	5.106275e-04
8.500000e+00	9.500000e+00	2.520862e-03	8.781835e-05	8.781835e-05
9.500000e+00	1.050000e+01	7.886640e-02	1.111017e-03	1.111017e-03
1.050000e+01	1.150000e+01	2.025155e-02	4.368994e-04	4.368994e-04
1.150000e+01	1.250000e+01	1.750304e-03	7.399612e-05	7.399612e-05
# END HISTO1D

