# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^\mathrm{jet}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^\mathrm{jet}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt
ScaledBy=2.48681561259271548e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_pt
ScaledBy=4.02203882379310458e-06
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.054412e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.054412e+01	1.111784e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.111784e+01	1.172279e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.172279e+01	1.236065e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.236065e+01	1.303321e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.303321e+01	1.374238e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.374238e+01	1.449012e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.449012e+01	1.527856e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.527856e+01	1.610989e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.610989e+01	1.698646e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.698646e+01	1.791073e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.791073e+01	1.888529e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.888529e+01	1.991287e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.991287e+01	2.099637e+01	8.416214e-07	2.136343e-08	2.136343e-08
2.099637e+01	2.213882e+01	8.624816e-07	2.106121e-08	2.106121e-08
2.213882e+01	2.334344e+01	8.247978e-07	2.006931e-08	2.006931e-08
2.334344e+01	2.461360e+01	8.275721e-07	1.957687e-08	1.957687e-08
2.461360e+01	2.595287e+01	7.743383e-07	1.845227e-08	1.845227e-08
2.595287e+01	2.736502e+01	7.526821e-07	1.769671e-08	1.769671e-08
2.736502e+01	2.885400e+01	6.834598e-07	1.643197e-08	1.643197e-08
2.885400e+01	3.042400e+01	6.418274e-07	1.550742e-08	1.550742e-08
